country,iso3c,year,gdp_per_capita,gdp_growth,population,inflation,unemployment,life_expectancy,region,income,lending
Afghanistan,AFG,2019,496.6025042585,3.91160341625552,37856121,2.30237251516834,11.185,62.941,South Asia,1. Low,IDA
Albania,ALB,2019,5460.4305086932,2.06257790176122,2854191,1.41109078954246,11.466,79.467,Europe & Central Asia,3. Upper-middle,IBRD
Algeria,DZA,2019,4468.45341883656,0.899999999219148,43294546,1.95176821052892,12.259,75.682,Middle East & North Africa,3. Upper-middle,IBRD
American Samoa,ASM,2019,12886.1359517218,-0.487804878048777,50209,NA,NA,72.751,East Asia & Pacific,4. High,Not classified
Andorra,AND,2019,41257.8045846483,2.01554763848308,76474,NA,NA,84.098,Europe & Central Asia,4. High,Not classified
Angola,AGO,2019,2189.85571407618,-0.702272957616017,32375632,17.080954143438,16.497,63.051,Sub-Saharan Africa,2. Lower-middle,IBRD
Antigua and Barbuda,ATG,2019,18896.3721832248,3.1722219373937,91364,1.43135598182984,NA,77.168,Latin America & Caribbean,4. High,IBRD
Argentina,ARG,2019,9955.97478680428,-2.00086100285785,44973465,NA,9.843,76.847,Latin America & Caribbean,3. Upper-middle,IBRD
Armenia,ARM,2019,4597.22887399548,7.59999999853918,2962500,1.44344660770698,18.304,76.2219512195122,Europe & Central Asia,3. Upper-middle,IBRD
Aruba,ABW,2019,31096.2050738676,-2.23244202651868,109203,4.25746204335428,NA,76.019,Latin America & Caribbean,4. High,Not classified
Australia,AUS,2019,54972.7017885437,2.17154505737176,25334826,1.61076787290379,5.159,82.9,East Asia & Pacific,4. High,Not classified
Austria,AUT,2019,49885.9947355204,1.75497619649288,8879920,1.53089564152644,4.56,81.8951219512195,Europe & Central Asia,4. High,Not classified
Azerbaijan,AZE,2019,4805.75371765917,2.47980893443938,10024283,2.61057182799215,5,73.29,Europe & Central Asia,3. Upper-middle,IBRD
"Bahamas, The",BHS,2019,33640.3369861278,-0.839051301013157,394675,2.49123527368046,9.336,71.408,Latin America & Caribbean,4. High,Not classified
Bahrain,BHR,2019,27259.7438599327,2.05287774418655,1483756,1.00582004702137,1.223,80.471,Middle East & North Africa,4. High,Not classified
Bangladesh,BGD,2019,2129.79896954606,7.88191515117722,164913055,5.59199639930629,4.441,72.625,South Asia,2. Lower-middle,IDA
Barbados,BRB,2019,20583.7265786414,0.652585417698418,281207,4.10028964518461,8.412,76.495,Latin America & Caribbean,4. High,IBRD
Belarus,BLR,2019,6837.77339645635,1.4464554769185,9419758,5.59815595039854,4.165,74.2268292682927,Europe & Central Asia,3. Upper-middle,IBRD
Belgium,BEL,2019,46716.6227467964,2.4428900448156,11488980,1.43681956996429,5.364,81.9951219512195,Europe & Central Asia,4. High,Not classified
Belize,BLZ,2019,6190.04792278445,4.26763689618086,385829,0.187069385181424,9.053,72.577,Latin America & Caribbean,3. Upper-middle,Blend
Benin,BEN,2019,1130.82135339795,6.86568662848335,12726755,0.732849371241066,1.214,59.888,Sub-Saharan Africa,2. Lower-middle,IDA
Bermuda,BMU,2019,115798.040775578,0.307106461240664,64107,NA,NA,81.251,North America,4. High,Not classified
Bhutan,BTN,2019,3576.87987100503,5.75514851246506,764824,2.72643037388832,2.72,72.005,South Asia,2. Lower-middle,IDA
Bolivia,BOL,2019,3503.89601123129,2.21670563961031,11671386,1.83954504969026,3.682,67.82,Latin America & Caribbean,2. Lower-middle,IBRD
Bosnia and Herzegovina,BIH,2019,6122.3753450882,2.88734334414875,3345533,0.56278215406123,15.692,77.394,Europe & Central Asia,3. Upper-middle,IBRD
Botswana,BWA,2019,7172.08956480028,3.03177337082403,2332083,2.77286442863321,20.094,67.167,Sub-Saharan Africa,3. Upper-middle,IBRD
Brazil,BRA,2019,9029.83326681073,1.22077782360842,207455459,3.73297621216894,11.936,75.809,Latin America & Caribbean,3. Upper-middle,IBRD
British Virgin Islands,VGB,2019,NA,NA,36395,NA,NA,76.845,Latin America & Caribbean,4. High,Not classified
Brunei Darussalam,BRN,2019,30426.5730284202,3.86884416432889,442680,-0.390522069165529,6.6,75.049,East Asia & Pacific,4. High,Not classified
Bulgaria,BGR,2019,10372.8044341114,3.78885036478003,6616726,3.10372944796781,4.23,75.1121951219512,Europe & Central Asia,4. High,IBRD
Burkina Faso,BFA,2019,764.853077774946,5.88920497068135,20961952,-3.2333893398333,4.71,60.184,Sub-Saharan Africa,1. Low,IDA
Burundi,BDI,2019,210.236494521532,1.81256532401552,12255336,-0.686772170797359,1.043,62.18,Sub-Saharan Africa,1. Low,IDA
Cabo Verde,CPV,2019,4380.78117331128,6.94782634051859,514104,1.10666674296063,12.128,75.449,Sub-Saharan Africa,2. Lower-middle,Blend
Cambodia,KHM,2019,2225.87705485686,7.93695013588524,16481304,1.94257500833107,0.119,70.127,East Asia & Pacific,2. Lower-middle,IDA
Cameroon,CMR,2019,1555.22660476477,3.47505998194981,25506095,2.45280214062732,3.622,61.695,Sub-Saharan Africa,2. Lower-middle,Blend
Canada,CAN,2019,46352.8693445211,1.90843194590616,37618495,1.94926902411593,5.69,82.1636585365854,North America,4. High,Not classified
Cayman Islands,CYM,2019,88254.2903677044,3.91563534249416,67327,NA,NA,79.052,Latin America & Caribbean,4. High,Not classified
Central African Republic,CAF,2019,449.228467602439,3.09999999999999,4944703,2.68537355266787,5.607,31.53,Sub-Saharan Africa,1. Low,IDA
Chad,TCD,2019,893.336441643325,5.38865646919793,16685223,-0.971939175419317,1.084,52.993,Sub-Saharan Africa,1. Low,IDA
Channel Islands,CHI,2019,60568.108347955,1.57335596156342,165639,NA,6.408,81.2,Europe & Central Asia,4. High,Not classified
Chile,CHL,2019,14495.716721687,0.634367533828438,19197744,2.55754475703327,7.493,80.324,Latin America & Caribbean,4. High,IBRD
China,CHN,2019,10342.9009524335,6.06850235053705,1407745000,2.89923416358227,4.56,77.94,East Asia & Pacific,3. Upper-middle,IBRD
Colombia,COL,2019,6472.54544924705,3.18685539245533,49907985,3.52301932741447,10.28,76.793,Latin America & Caribbean,3. Upper-middle,IBRD
Comoros,COM,2019,1519.26386326167,3.62877024437186,786578,NA,3.934,65.662,Sub-Saharan Africa,2. Lower-middle,IDA
"Congo, Dem. Rep.",COD,2019,557.044161335917,4.38452887429834,92947442,NA,4.591,60.242,Sub-Saharan Africa,1. Low,IDA
"Congo, Rep.",COG,2019,2488.42466724916,1.12447391976529,5616661,2.20607305781525,20.392,63.152,Sub-Saharan Africa,2. Lower-middle,Blend
Costa Rica,CRI,2019,12884.6859951947,2.41751181762513,4999553,2.09604635327807,10.807,80.296,Latin America & Caribbean,3. Upper-middle,IBRD
Cote d'Ivoire,CIV,2019,2141.76836170115,6.72137167584978,28193009,-1.10686343994188,2.401,60.274,Sub-Saharan Africa,2. Lower-middle,IDA
Croatia,HRV,2019,15563.8167397199,3.10043911443758,3949390,0.771820346498019,6.617,78.2243902439024,Europe & Central Asia,4. High,IBRD
Cuba,CUB,2019,9232.26115935183,-0.163087223606624,11202846,NA,1.705,77.413,Latin America & Caribbean,3. Upper-middle,Not classified
Curacao,CUW,2019,19220.6865793075,-3.20613171902535,157441,2.62220783425059,NA,76.492,Latin America & Caribbean,4. High,Not classified
Cyprus,CYP,2019,29703.052734375,5.87559583386607,1286671,0.250370996758493,7.155,81.454,Europe & Central Asia,4. High,Not classified
Czechia,CZE,2019,24062.7190013343,3.56577658128261,10671870,2.8478759591805,2.015,79.2292682926829,Europe & Central Asia,4. High,Not classified
Denmark,DNK,2019,59404.2663247723,1.71140093932736,5814422,0.75813157251162,5.018,81.4512195121951,Europe & Central Asia,4. High,Not classified
Djibouti,DJI,2019,2837.16902340932,5.54508081154978,1088709,3.31925372703827,26.256,64.381,Middle East & North Africa,2. Lower-middle,IDA
Dominica,DMA,2019,9491.14995962374,3.94809757938053,67880,1.50462353858141,NA,71.305,Latin America & Caribbean,3. Upper-middle,Blend
Dominican Republic,DOM,2019,8183.01623600375,4.8940301149584,10894043,1.81060377042959,6.356,73.112,Latin America & Caribbean,3. Upper-middle,IBRD
Ecuador,ECU,2019,6205.05765246766,0.1654044646003,17340021,0.266012515466155,3.812,77.286,Latin America & Caribbean,3. Upper-middle,IBRD
"Egypt, Arab Rep.",EGY,2019,2962.98892023003,5.55209307156956,107553158,9.15279959324804,7.851,71.213,Middle East & North Africa,2. Lower-middle,IBRD
El Salvador,SLV,2019,4320.11671534627,2.43747159065784,6222318,0.0753241350024612,4.17,71.725,Latin America & Caribbean,3. Upper-middle,IBRD
Equatorial Guinea,GNQ,2019,6804.14923073888,-5.48182537893445,1670177,1.53027528964189,8.064,62.297,Sub-Saharan Africa,3. Upper-middle,IBRD
Eritrea,ERI,2019,NA,NA,3240194,NA,5.552,67.306,Sub-Saharan Africa,1. Low,IDA
Estonia,EST,2019,24021.2501413306,3.72664943466884,1326898,2.27725931243522,4.514,78.6463414634147,Europe & Central Asia,4. High,Not classified
Eswatini,SWZ,2019,3913.12643969301,6.0831764512818,1179874,2.59801620311077,28.138,59.85,Sub-Saharan Africa,2. Lower-middle,Blend
Ethiopia,ETH,2019,828.709080522921,8.36408573314054,115737383,15.8096321719344,2.917,65.741,Sub-Saharan Africa,1. Low,IDA
Faroe Islands,FRO,2019,63067.0695697911,4.53851028676189,51793,NA,NA,82.4439024390244,Europe & Central Asia,4. High,Not classified
Fiji,FJI,2019,5950.82866866702,-0.581946709343811,914899,1.77310182460282,4.373,67.009,East Asia & Pacific,3. Upper-middle,Blend
Finland,FIN,2019,48358.1807773701,1.34973845741737,5521606,1.02409392963431,6.695,81.9829268292683,Europe & Central Asia,4. High,Not classified
France,FRA,2019,40408.2848574751,2.02744646419237,67382061,1.10825492288294,8.415,82.8268292682927,Europe & Central Asia,4. High,Not classified
French Polynesia,PYF,2019,21582.5892046801,2.70001206709303,279034,NA,11.565,83.195,East Asia & Pacific,4. High,Not classified
Gabon,GAB,2019,7441.1786472281,3.92080879452831,2267706,2.46456756151187,20.358,67.337,Sub-Saharan Africa,3. Upper-middle,IBRD
"Gambia, The",GMB,2019,738.186751987483,6.22205315994859,2456844,7.11567625631192,4.538,64.427,Sub-Saharan Africa,1. Low,IDA
Georgia,GEO,2019,4741.2832715876,5.38071926589951,3720161,4.85289821696723,11.565,74.165,Europe & Central Asia,3. Upper-middle,IBRD
Germany,DEU,2019,47623.8656074829,0.987893350164853,83092962,1.44565976888253,3.163,81.2926829268293,Europe & Central Asia,4. High,Not classified
Ghana,GHA,2019,2186.65822682613,6.5077747939152,31258945,7.14364003330857,3.16,64.455,Sub-Saharan Africa,2. Lower-middle,IDA
Gibraltar,GIB,2019,NA,NA,35494,NA,NA,83.183,Europe & Central Asia,4. High,Not classified
Greece,GRC,2019,19335.3602002969,2.27718065334808,10721582,0.253007522038157,17.045,81.6390243902439,Europe & Central Asia,4. High,Not classified
Greenland,GRL,2019,53309.2035905065,2.83217756798683,56225,NA,NA,71.9443902439024,Europe & Central Asia,4. High,Not classified
Grenada,GRD,2019,10462.7929159533,0.676511738873756,115981,0.598149764736022,NA,74.971,Latin America & Caribbean,3. Upper-middle,Blend
Guam,GUM,2019,39274.9431424899,2.52360203340596,161808,NA,5.401,76.645,East Asia & Pacific,4. High,Not classified
Guatemala,GTM,2019,4511.99755157656,4.0178979343828,17103803,3.69998398008598,2.193,71.639,Latin America & Caribbean,3. Upper-middle,IBRD
Guinea,GIN,2019,1031.34146480732,5.61691446889876,13034346,9.47001039253012,5.018,59.379,Sub-Saharan Africa,2. Lower-middle,IDA
Guinea-Bissau,GNB,2019,807.425524872835,5.56574533585568,1967696,0.24660026814783,2.413,62.161,Sub-Saharan Africa,1. Low,IDA
Guyana,GUY,2019,6405.82443444562,5.35284003535665,807665,2.08723089162013,13.172,69.067,Latin America & Caribbean,4. High,IDA
Haiti,HTI,2019,1352.17204191532,-1.72309699839232,11105163,18.7037825672506,14.057,64.328,Latin America & Caribbean,2. Lower-middle,IDA
Honduras,HND,2019,2502.32744328073,2.55963434592314,9943633,4.36587159819267,5.698,72.124,Latin America & Caribbean,2. Lower-middle,IDA
"Hong Kong SAR, China",HKG,2019,48359.0011950597,-1.67239516545338,7507900,2.88320853773996,2.917,85.1558536585366,East Asia & Pacific,4. High,Not classified
Hungary,HUN,2019,17012.8598553199,5.07718495088933,9694824,3.33858635382008,3.419,76.3195121951219,Europe & Central Asia,4. High,Not classified
Iceland,ISL,2019,68452.23622306,1.8611779461166,360563,3.01397179156053,3.507,83.1634146341463,Europe & Central Asia,4. High,Not classified
India,IND,2019,2041.42863698585,3.87143694070356,1389030312,3.72950573539129,6.51,70.746,South Asia,2. Lower-middle,IBRD
Indonesia,IDN,2019,4106.94856160358,5.01928768046282,272489381,3.03058664969487,3.59,70.349,East Asia & Pacific,3. Upper-middle,IBRD
"Iran, Islamic Rep.",IRN,2019,3831.27894763337,-3.0705879849703,87051648,39.9073455697784,10.74,76.855,Middle East & North Africa,3. Upper-middle,IBRD
Iraq,IRQ,2019,5671.8568632942,5.51379057542323,41192171,-0.198965380023928,14.109,71.245,Middle East & North Africa,3. Upper-middle,IBRD
Ireland,IRL,2019,81810.1926481407,5.04054996161159,4976456,0.937842961189274,4.95,82.7024390243903,Europe & Central Asia,4. High,Not classified
Isle of Man,IMN,2019,87127.5517977404,0.254877847398262,83957,NA,NA,80.74,Europe & Central Asia,4. High,Not classified
Israel,ISR,2019,44250.6313628073,3.71049632750405,9054000,0.84978312826417,3.731,82.8048780487805,Middle East & North Africa,4. High,Not classified
Italy,ITA,2019,33812.788724868,0.429162533780342,59729081,0.611246943765304,9.951,83.4975609756098,Europe & Central Asia,4. High,Not classified
Jamaica,JAM,2019,5607.24299266608,0.892291653822227,2823271,3.90510000865872,4.987,71.532,Latin America & Caribbean,3. Upper-middle,IBRD
Japan,JPN,2019,40415.9567649547,-0.402169200894946,126633000,0.46877615938395,2.351,84.3563414634146,East Asia & Pacific,4. High,Not classified
Jordan,JOR,2019,4170.1144003465,1.75124077866225,10671891,0.761514047265601,16.801,76.865,Middle East & North Africa,2. Lower-middle,IBRD
Kazakhstan,KAZ,2019,9457.12614657136,4.50000000091883,19209555,5.33356098916663,4.8,73.658,Europe & Central Asia,3. Upper-middle,IBRD
Kenya,KEN,2019,1960.40808854893,5.11415885767801,51202827,5.23963795764792,5.014,62.939,Sub-Saharan Africa,2. Lower-middle,Blend
Kiribati,KIR,2019,1750.9977188915,3.26428756458257,123921,-1.81307995302947,NA,65.866,East Asia & Pacific,2. Lower-middle,IDA
"Korea, Dem. People's Rep.",PRK,2019,NA,NA,26037632,NA,2.782,72.928,East Asia & Pacific,1. Low,Not classified
"Korea, Rep.",KOR,2019,31902.4169048194,2.24397786011012,51764822,0.383000303608136,3.746,83.2268292682927,East Asia & Pacific,4. High,Not classified
Kosovo,XKX,2019,4415.99716107514,4.75680057007834,1788891,2.67599202639893,NA,77.249,Europe & Central Asia,3. Upper-middle,IDA
Kuwait,KWT,2019,31707.8737464917,2.26381690553512,4442316,1.09184802655856,2.251,81.969756097561,Middle East & North Africa,4. High,Not classified
