country,iso3c,year,gdp_per_capita,gdp_growth,population,inflation,unemployment,life_expectancy,region,income,lending
Kyrgyz Republic,KGZ,2019,1421.99927504102,4.60062565707598,6590211,1.13362257718804,4.295,71.6,Europe & Central Asia,2. Lower-middle,IDA
Lao PDR,LAO,2019,2589.32081035237,5.4577350924848,7237636,3.32255881256925,2.537,67.911,East Asia & Pacific,2. Lower-middle,IDA
Latvia,LVA,2019,17294.9751600969,0.675372771884227,1913822,2.81140920075615,6.312,75.3878048780488,Europe & Central Asia,4. High,Not classified
Lebanon,LBN,2019,8905.88005497437,-6.91492472851026,5794594,3.00538949390383,11.301,78.208,Middle East & North Africa,2. Lower-middle,IBRD
Lesotho,LSO,2019,1082.05706777516,-1.41799383085205,2209405,5.18708359197982,16.876,55.249,Sub-Saharan Africa,2. Lower-middle,IDA
Liberia,LBR,2019,658.164180770507,-2.46729763532686,5043721,26.9662760197878,3.068,61.232,Sub-Saharan Africa,1. Low,IDA
Libya,LBY,2019,9963.19489084483,-11.1960828853386,6951033,-2.16217883470595,19.05,72.941,Middle East & North Africa,3. Upper-middle,IBRD
Liechtenstein,LIE,2019,166907.839305016,NA,38563,NA,NA,84.1609756097561,Europe & Central Asia,4. High,Not classified
Lithuania,LTU,2019,19608.7943945553,4.67735183530451,2811089,2.33450937988027,6.255,76.2829268292683,Europe & Central Asia,4. High,Not classified
Luxembourg,LUX,2019,112696.649059674,2.74931929072659,620001,1.74332075653848,5.592,82.6390243902439,Europe & Central Asia,4. High,Not classified
"Macao SAR, China",MAC,2019,81967.699172769,-2.5634151500998,672000,2.75193081051982,1.749,83.9292682926829,East Asia & Pacific,4. High,Not classified
Madagascar,MDG,2019,499.818837622534,4.41123212909589,28219554,5.61051441492365,2.469,63.504,Sub-Saharan Africa,1. Low,IDA
Malawi,MWI,2019,580.889816066776,5.71682519194337,19025752,9.3708360560567,4.966,64.995,Sub-Saharan Africa,1. Low,IDA
Malaysia,MYS,2019,10920.191763972,4.41318742129586,33440596,0.662891865764326,3.26,75.9,East Asia & Pacific,3. Upper-middle,IBRD
Maldives,MDV,2019,11740.2724029785,6.92305980832566,487731,0.220029731065383,4.562,79.707,South Asia,3. Upper-middle,IDA
Mali,MLI,2019,971.949318638092,4.99999911699705,21068405,-1.65826694846365,3.29,59.217,Sub-Saharan Africa,1. Low,IDA
Malta,MLT,2019,32421.9179753188,4.08470602847339,503912,1.6420600176894,3.616,82.6585365853659,Middle East & North Africa,4. High,Not classified
Marshall Islands,MHL,2019,5292.33985502306,10.4521147301896,44007,NA,NA,66.047,East Asia & Pacific,3. Upper-middle,IDA
Mauritania,MRT,2019,1767.072710621,3.14100489306969,4467708,2.30009262117937,10.416,67.64,Sub-Saharan Africa,2. Lower-middle,IDA
Mauritius,MUS,2019,11403.2527870674,2.89128499346516,1265985,0.405655190309553,6.331,74.2358536585366,Sub-Saharan Africa,3. Upper-middle,IBRD
Mexico,MEX,2019,10369.555358527101,-0.392690505099296,125762982,3.63596142127046,3.477,74.53,Latin America & Caribbean,3. Upper-middle,IBRD
"Micronesia, Fed. Sts.",FSM,2019,3572.65918282222,4.08163265306123,110282,1.92385170787923,NA,66.196,East Asia & Pacific,2. Lower-middle,IDA
Moldova,MDA,2019,4405.33418162155,3.5523140853476,2664224,4.83778351428722,1.466,70.181,Europe & Central Asia,3. Upper-middle,IBRD
Monaco,MCO,2019,193746.785647412,7.12088951975396,38109,NA,NA,86.151,Europe & Central Asia,4. High,Not classified
Mongolia,MNG,2019,4347.54610314873,5.60224422064255,3267673,7.30106953550723,9.269,71.0531707317073,East Asia & Pacific,3. Upper-middle,IBRD
Montenegro,MNE,2019,8842.48528706869,4.06294499167197,626753,0.361563704540767,15.128,76.6829268292683,Europe & Central Asia,3. Upper-middle,IBRD
Morocco,MAR,2019,3508.09765625,2.89097476137077,36210898,0.303386036590383,9.194,74.245,Middle East & North Africa,2. Lower-middle,IBRD
Mozambique,MOZ,2019,519.09255091362,2.31781394821475,29884380,2.80270307928111,3.646,61.306,Sub-Saharan Africa,1. Low,IDA
Myanmar,MMR,2019,1425.98954211903,6.57911006765414,52640713,8.82506696804558,0.407,66.457,East Asia & Pacific,2. Lower-middle,IDA
Namibia,NAM,2019,4731.9210318831,-0.83915216341935694,2650494,3.72239414422695,19.921,63.546,Sub-Saharan Africa,3. Upper-middle,IBRD
Nauru,NRU,2019,10776.8284610316,8.48673659193109,11587,NA,NA,61.393,East Asia & Pacific,4. High,IBRD
Nepal,NPL,2019,1203.14294706401,6.65705543110468,28414064,5.56868547784929,10.389,69.299,South Asia,2. Lower-middle,IDA
Netherlands,NLD,2019,53554.9007491475,2.30009157916757,17344874,2.63369910249601,3.379,82.1121951219512,Europe & Central Asia,4. High,Not classified
New Caledonia,NCL,2019,33411.3358835672,-1.40000000198451,283606,NA,10.88,77.262,East Asia & Pacific,4. High,Not classified
New Zealand,NZL,2019,42779.2298164101,2.31747144034802,4979200,1.61963190184048,4.109,82.0560975609756,East Asia & Pacific,4. High,Not classified
Nicaragua,NIC,2019,1958.62051528095,-2.89686986728901,6483657,5.37628990844126,5.472,73.764,Latin America & Caribbean,2. Lower-middle,IDA
Niger,NER,2019,561.691304349698,5.93985257123522,22947757,-2.48979265070855,0.531,60.031,Sub-Saharan Africa,1. Low,IDA
Nigeria,NGA,2019,2265.15520863056,2.20842927714881,209485641,11.3964223378115,5.206,53.009,Sub-Saharan Africa,2. Lower-middle,Blend
North Macedonia,MKD,2019,6718.85826635458,3.91041953840173,1876262,0.766439573459716,17.414,76.6024390243903,Europe & Central Asia,3. Upper-middle,IBRD
Northern Mariana Islands,MNP,2019,24496.6652122421,-11.4474929044465,48129,NA,NA,77.844,East Asia & Pacific,4. High,Not classified
Norway,NOR,2019,76430.5889473338,1.12374694968757,5347896,2.16773003305402,3.684,82.9585365853659,Europe & Central Asia,4. High,Not classified
Oman,OMN,2019,19180.1864152801,-1.12863801728058,4591241,0.490815362820671,2.04,79.946,Middle East & North Africa,4. High,Not classified
Pakistan,PAK,2019,1390.41690981745,2.49763692943365,230800899,10.5783618004555,4.83,66.729,South Asia,2. Lower-middle,Blend
Palau,PLW,2019,15841.1956399595,0.200015068654793,17798,0.26737967914444,NA,68.982,East Asia & Pacific,4. High,IBRD
Panama,PAN,2019,16477.9066285687,3.10306788630359,4234700,-0.355083821021245,6.256,78.514,Latin America & Caribbean,4. High,IBRD
Papua New Guinea,PNG,2019,2575.77274140393,4.48051456942582,9609010,3.92867290939597,2.634,65.331,East Asia & Pacific,2. Lower-middle,Blend
Paraguay,PRY,2019,5821.18199548637,-0.40185510068001,6515058,2.75709727562775,6.595,73.668,Latin America & Caribbean,3. Upper-middle,IBRD
Peru,PER,2019,7037.00803692604,2.24063176875049,32449303,2.25212191358027,3.379,76.275,Latin America & Caribbean,3. Upper-middle,IBRD
Philippines,PHL,2019,3400.78949767074,6.11852566221303,110804683,2.39206534422404,2.237,69.68,East Asia & Pacific,2. Lower-middle,IBRD
Poland,POL,2019,15874.5220531254,4.58045817256199,37965475,2.227478809383,3.267,77.9048780487805,Europe & Central Asia,4. High,IBRD
Portugal,PRT,2019,23343.3628970034,2.74568479564236,10286263,0.338178410046034,6.464,81.6756097560976,Europe & Central Asia,4. High,Not classified
Qatar,QAT,2019,66841.3013484919,0.688240954592672,2638657,-0.666641124861147,0.1,82.945,Middle East & North Africa,4. High,Not classified
Romania,ROU,2019,12992.0326104674,3.92326384963494,19371648,3.82785432599438,3.912,75.6073170731707,Europe & Central Asia,4. High,IBRD
Russian Federation,RUS,2019,11447.701171875,2.19807571335009,145453291,4.47036660760173,4.513,73.0839024390244,Europe & Central Asia,4. High,IBRD
Rwanda,RWA,2019,810.051412137354,9.44738518613097,12776103,3.34787655037648,11.236,66.691,Sub-Saharan Africa,1. Low,IDA
Samoa,WSM,2019,4351.94234943706,4.45185891688691,209780,0.982326569888117,7.838,70.269,East Asia & Pacific,2. Lower-middle,IDA
San Marino,SMR,2019,46627.0122356944,2.06568514732741,34663,0.472651967352852,NA,85.257,Europe & Central Asia,4. High,Not classified
Sao Tome and Principe,STP,2019,1935.2931816596,2.01431672129407,213392,7.72024525213248,8.831,68.043,Sub-Saharan Africa,2. Lower-middle,IDA
Saudi Arabia,SAU,2019,29566.7933827436,1.65156358885577,30063799,-2.09334900966552,5.636,78.313,Middle East & North Africa,4. High,Not classified
Senegal,SEN,2019,1431.18128932159,4.61362809749708,16352922,1.76011151192939,2.863,67.668,Sub-Saharan Africa,2. Lower-middle,IDA
Serbia,SRB,2019,7755.632986437,4.75020793899014,6945235,1.84922984511086,10.395,75.9365853658537,Europe & Central Asia,3. Upper-middle,IBRD
Seychelles,SYC,2019,19141.5118743615,5.5142920737342,97625,1.80709400809982,NA,74.0463414634146,Sub-Saharan Africa,4. High,IBRD
Sierra Leone,SLE,2019,844.049555179116,5.50270937378153,7731991,14.8049990906021,3.203,59.593,Sub-Saharan Africa,1. Low,IDA
Singapore,SGP,2019,65952.0378959293,1.30804118153127,5703569,0.567829988405447,3.1,83.5951219512195,East Asia & Pacific,4. High,Not classified
Sint Maarten (Dutch part),SXM,2019,34861.469528968,10.9650009352392,40385,NA,NA,75.68,Latin America & Caribbean,4. High,Not classified
Slovak Republic,SVK,2019,19406.0589683582,2.27589910019393,5454147,2.66456133425431,5.761,77.6658536585366,Europe & Central Asia,4. High,Not classified
Slovenia,SVN,2019,25814.1687167572,3.50525332381912,2088385,1.63052260754344,4.446,81.5292682926829,Europe & Central Asia,4. High,Not classified
Solomon Islands,SLB,2019,2223.66502559565,1.74856655451832,728147,1.63485544012247,0.743,69.981,East Asia & Pacific,2. Lower-middle,IDA
Somalia,SOM,2019,539.893931565407,2.8243133654528,16030971,NA,18.828,57.249,Sub-Saharan Africa,1. Low,IDA
South Africa,ZAF,2019,6533.71121032856,0.25993557687633,59587885,4.10285075461156,28.468,66.071,Sub-Saharan Africa,3. Upper-middle,IBRD
South Sudan,SSD,2019,NA,NA,10423384,87.241364150003207,12.709,58.129,Sub-Saharan Africa,1. Low,IDA
Spain,ESP,2019,29786.5245689007,1.96117850841711,47118501,0.699518994458739,14.104,83.8317073170732,Europe & Central Asia,4. High,Not classified
Sri Lanka,LKA,2019,4081.94772722003,-0.220483886831275,21803000,3.52839358231811,4.67,76.698,South Asia,2. Lower-middle,IDA
St. Kitts and Nevis,KNA,2019,23595.4923231291,2.93824658056356,46952,-0.329562063663977,NA,71.54,Latin America & Caribbean,4. High,IBRD
St. Lucia,LCA,2019,11794.0597229805,-0.700322396299441,177661,0.539087559191757,15.613,72.249,Latin America & Caribbean,3. Upper-middle,Blend
St. Martin (French part),MAF,2019,19033.0594854512,6.50000363700821,34267,NA,NA,80.078,Latin America & Caribbean,4. High,Not classified
St. Vincent and the Grenadines,VCT,2019,8740.59425232061,0.668428481084234,104167,0.91306972532459,19.235,70.994,Latin America & Caribbean,3. Upper-middle,Blend
Sudan,SDN,2019,709.975280761719,-2.17825104530091,45548175,50.9940515002965,11.658,65.803,Sub-Saharan Africa,1. Low,IDA
Suriname,SUR,2019,6629.66775248603,1.16758977233877,605768,NA,7.556,71.773,Latin America & Caribbean,3. Upper-middle,Blend
Sweden,SWE,2019,51773.0464558993,2.54964787203104,10278887,1.78415097403835,6.833,83.109756097561,Europe & Central Asia,4. High,Not classified
Switzerland,CHE,2019,84121.9310304414,1.14198218965691,8575280,0.362886179940614,4.394,83.9048780487805,Europe & Central Asia,4. High,Not classified
Syrian Arab Republic,SYR,2019,1109.53926036049,1.22070522070523,20353534,13.4175653228571,13.36,70.97,Middle East & North Africa,1. Low,IDA
Tajikistan,TJK,2019,871.022372934846,7.40000016310556,9529966,NA,11.419,70.962,Europe & Central Asia,2. Lower-middle,IDA
Tanzania,TZA,2019,1063.32250976563,5.79999999996723,59174891,3.4642805799902,2.496,66.007,Sub-Saharan Africa,2. Lower-middle,IDA
Thailand,THA,2019,7605.69657797759,2.11455779628278,71522271,0.706728601314311,0.716,77.197,East Asia & Pacific,3. Upper-middle,IBRD
Timor-Leste,TLS,2019,1562.36458068032,23.4120135843883,1300945,0.958812739703141,3.097,66.496,East Asia & Pacific,2. Lower-middle,Blend
Togo,TGO,2019,826.260654099894,4.92292591685973,8463068,0.685897590895497,2.036,61.055,Sub-Saharan Africa,1. Low,IDA
Tonga,TON,2019,4676.84802517145,-0.208433391421963,105669,1.179543348218,2.157,72.292,East Asia & Pacific,3. Upper-middle,IDA
Trinidad and Tobago,TTO,2019,17293.4730123427,0.471813384187158,1363985,1.00054293027237,3.523,72.836,Latin America & Caribbean,4. High,IBRD
Tunisia,TUN,2019,3528.87213306798,1.58784665466504,11875081,6.72007532863799,17.153,75.599,Middle East & North Africa,2. Lower-middle,IBRD
Turkiye,TUR,2019,9215.44049888114,0.818514526726673,82579440,15.1768215720022,13.73,77.737,Europe & Central Asia,3. Upper-middle,IBRD
Turkmenistan,TKM,2019,6648.0348960628,6.30000004226711,6803944,NA,4.043,69.405,Europe & Central Asia,3. Upper-middle,IBRD
Turks and Caicos Islands,TCA,2019,31780.5217068989,4.98170549382992,43166,NA,NA,77.691,Latin America & Caribbean,4. High,Not classified
Tuvalu,TUV,2019,5115.13075950206,13.8220984406966,10581,NA,NA,66.109,East Asia & Pacific,3. Upper-middle,IDA
Uganda,UGA,2019,822.171150141651,6.43874503276439,42999637,2.867588034469,3.06,66.354,Sub-Saharan Africa,1. Low,IDA
Ukraine,UKR,2019,3619.86157226563,3.19950386354134,44957458,7.88671745611133,8.194,73.92,Europe & Central Asia,3. Upper-middle,IBRD
United Arab Emirates,ARE,2019,44251.4541398817,1.10834813453296,9445785,-1.93108114782173,2.331,82.596,Middle East & North Africa,4. High,Not classified
United Kingdom,GBR,2019,42794.0022648288,1.62447518038404,66631000,1.73810460086513,3.613,81.3691219512195,Europe & Central Asia,4. High,Not classified
United States,USA,2019,65227.9565911038,2.58382533018889,330226227,1.81221007526021,3.669,78.7878048780488,North America,4. High,Not classified
Uruguay,URY,2019,18315.7316980028,0.928351141267498,3397206,7.88198870879619,8.836,77.503,Latin America & Caribbean,4. High,IBRD
Uzbekistan,UZB,2019,2041.38480729431,6.77992399655236,32964701,14.5257359560687,4.932,72.093,Europe & Central Asia,2. Lower-middle,Blend
Vanuatu,VUT,2019,3207.44650452083,3.24118765540442,291985,2.76252019386111,5.444,70.783,East Asia & Pacific,2. Lower-middle,IDA
Viet Nam,VNM,2019,3440.90025375434,7.35926270105006,97173776,2.7958236745225,1.681,74.211,East Asia & Pacific,2. Lower-middle,IBRD
Virgin Islands (U.S.),VIR,2019,38633.5298915336,2.90833549727343,106669,NA,12.551,79.6682926829268,Latin America & Caribbean,4. High,Not classified
West Bank and Gaza,PSE,2019,3656.85827137011,1.36268746558062,4685306,1.58018333639455,25.34,75.811,Middle East & North Africa,2. Lower-middle,Not classified
"Yemen, Rep.",YEM,2019,623.376168144679,NA,35111408,NA,17.202,66.567,Middle East & North Africa,1. Low,IDA
Zambia,ZMB,2019,1258.98619844462,1.44130602603785,18513839,9.15031644316296,5.542,62.914,Sub-Saharan Africa,2. Lower-middle,IDA
Zimbabwe,ZWE,2019,1683.91313584141,-6.33244975108572,15271368,255.304990757856,7.373,61.06,Sub-Saharan Africa,2. Lower-middle,Blend
